"الربع","الجنس","العمر","معدل البطالة"
"2016-Q2","ذكور","الشباب (15 - 24)","%26.9"
"2016-Q2","إناث","الشباب (15 - 24)","%65.1"
"2016-Q3","ذكور","الشباب (15 - 24)","%27.9"
"2016-Q3","إناث","الشباب (15 - 24)","%72.8"
"2016-Q4","ذكور","الشباب (15 - 24)","%28.9"
"2016-Q4","إناث","الشباب (15 - 24)","%71.7"
"2017-Q1","ذكور","الشباب (15 - 24)","%34.8"
"2017-Q1","إناث","الشباب (15 - 24)","%72.8"
"2017-Q2","ذكور","الشباب (15 - 24)","%34.0"
"2017-Q2","إناث","الشباب (15 - 24)","%76.4"
"2017-Q3","ذكور","الشباب (15 - 24)","%36.4"
"2017-Q3","إناث","الشباب (15 - 24)","%77.5"
"2017-Q4","ذكور","الشباب (15 - 24)","%34.8"
"2017-Q4","إناث","الشباب (15 - 24)","%71.3"
"2018-Q1","ذكور","الشباب (15 - 24)","%35.3"
"2018-Q1","إناث","الشباب (15 - 24)","%69.8"
"2018-Q2","ذكور","الشباب (15 - 24)","%33.3"
"2018-Q2","إناث","الشباب (15 - 24)","%71.1"
"2018-Q3","ذكور","الشباب (15 - 24)","%30.3"
"2018-Q3","إناث","الشباب (15 - 24)","%68.1"
"2018-Q4","ذكور","الشباب (15 - 24)","%25.7"
"2018-Q4","إناث","الشباب (15 - 24)","%72.6"
"2019-Q1","ذكور","الشباب (15 - 24)","%29.2"
"2019-Q1","إناث","الشباب (15 - 24)","%62.1"
"2019-Q2","ذكور","الشباب (15 - 24)","%23.9"
"2019-Q2","إناث","الشباب (15 - 24)","%59.6"
"2019-Q3","ذكور","الشباب (15 - 24)","%24.6"
"2019-Q3","إناث","الشباب (15 - 24)","%62.8"
"2019-Q4","ذكور","الشباب (15 - 24)","%17.3"
"2019-Q4","إناث","الشباب (15 - 24)","%57.8"
"2020-Q1","ذكور","الشباب (15 - 24)","%20.2"
"2020-Q1","إناث","الشباب (15 - 24)","%57.4"
"2020-Q2","ذكور","الشباب (15 - 24)","%25.9"
"2020-Q2","إناث","الشباب (15 - 24)","%57.1"
"2020-Q3","ذكور","الشباب (15 - 24)","%25.0"
"2020-Q3","إناث","الشباب (15 - 24)","%57.3"
"2020-Q4","ذكور","الشباب (15 - 24)","%22.1"
"2020-Q4","إناث","الشباب (15 - 24)","%45.1"
"2021-Q1","ذكور","الشباب (15 - 24)","%21.8"
"2021-Q1","إناث","الشباب (15 - 24)","%36.6"
"2021-Q2","ذكور","الشباب (15 - 24)","%17.2"
"2021-Q2","إناث","الشباب (15 - 24)","%34.1"
"2021-Q3","ذكور","الشباب (15 - 24)","%14.9"
"2021-Q3","إناث","الشباب (15 - 24)","%22.8"
"2021-Q4","ذكور","الشباب (15 - 24)","%12.3"
"2021-Q4","إناث","الشباب (15 - 24)","%25.2"
"2022-Q1","ذكور","الشباب (15 - 24)","%11.4"
"2022-Q1","إناث","الشباب (15 - 24)","%24.4"
"2022-Q2","ذكور","الشباب (15 - 24)","%11.7"
"2022-Q2","إناث","الشباب (15 - 24)","%30.5"
"2022-Q3","ذكور","الشباب (15 - 24)","%10.9"
"2022-Q3","إناث","الشباب (15 - 24)","%27.9"
"2022-Q4","ذكور","الشباب (15 - 24)","%12.5"
"2022-Q4","إناث","الشباب (15 - 24)","%26.0"
"2023-Q1","ذكور","الشباب (15 - 24)","%12.7"
"2023-Q1","إناث","الشباب (15 - 24)","%23.7"
"2023-Q2","ذكور","الشباب (15 - 24)","%13.2"
"2023-Q2","إناث","الشباب (15 - 24)","%24.8"
"2023-Q3","ذكور","الشباب (15 - 24)","%14.0"
"2023-Q3","إناث","الشباب (15 - 24)","%24.8"
"2023-Q4","ذكور","الشباب (15 - 24)","%14.0"
"2023-Q4","إناث","الشباب (15 - 24)","%22.1"
"2024-Q1","ذكور","الشباب (15 - 24)","%11.6"
"2024-Q1","إناث","الشباب (15 - 24)","%23.0"
"2024-Q2","ذكور","الشباب (15 - 24)","%11.4"
"2024-Q2","إناث","الشباب (15 - 24)","%23.6"
"2024-Q3","ذكور","الشباب (15 - 24)","%14.0"
"2024-Q3","إناث","الشباب (15 - 24)","%24.5"
"2024-Q4","ذكور","الشباب (15 - 24)","%12.2"
"2024-Q4","إناث","الشباب (15 - 24)","%19.9"
"2025-Q1","ذكور","الشباب (15 - 24)","%11.6"
"2025-Q1","إناث","الشباب (15 - 24)","%20.7"
"2025-Q2","ذكور","الشباب (15 - 24)","%11.5"
"2025-Q2","إناث","الشباب (15 - 24)","%20.6"
"2025-Q3","ذكور","الشباب (15 - 24)","%13.6"
"2025-Q3","إناث","الشباب (15 - 24)","%24.2"
"2016-Q2","ذكور","سن العمل الأساسي (25 - 34)","%6.8"
"2016-Q2","إناث","سن العمل الأساسي (25 - 34)","%45.5"
"2016-Q3","ذكور","سن العمل الأساسي (25 - 34)","%6.1"
"2016-Q3","إناث","سن العمل الأساسي (25 - 34)","%46.3"
"2016-Q4","ذكور","سن العمل الأساسي (25 - 34)","%7.9"
"2016-Q4","إناث","سن العمل الأساسي (25 - 34)","%48.4"
"2017-Q1","ذكور","سن العمل الأساسي (25 - 34)","%9.6"
"2017-Q1","إناث","سن العمل الأساسي (25 - 34)","%46.0"
"2017-Q2","ذكور","سن العمل الأساسي (25 - 34)","%8.7"
"2017-Q2","إناث","سن العمل الأساسي (25 - 34)","%49.8"
"2017-Q3","ذكور","سن العمل الأساسي (25 - 34)","%9.5"
"2017-Q3","إناث","سن العمل الأساسي (25 - 34)","%46.9"
"2017-Q4","ذكور","سن العمل الأساسي (25 - 34)","%9.7"
"2017-Q4","إناث","سن العمل الأساسي (25 - 34)","%43.0"
"2018-Q1","ذكور","سن العمل الأساسي (25 - 34)","%9.3"
"2018-Q1","إناث","سن العمل الأساسي (25 - 34)","%41.9"
"2018-Q2","ذكور","سن العمل الأساسي (25 - 34)","%10.0"
"2018-Q2","إناث","سن العمل الأساسي (25 - 34)","%45.5"
"2018-Q3","ذكور","سن العمل الأساسي (25 - 34)","%8.9"
"2018-Q3","إناث","سن العمل الأساسي (25 - 34)","%47.7"
"2018-Q4","ذكور","سن العمل الأساسي (25 - 34)","%8.7"
"2018-Q4","إناث","سن العمل الأساسي (25 - 34)","%47.1"
"2019-Q1","ذكور","سن العمل الأساسي (25 - 34)","%8.0"
"2019-Q1","إناث","سن العمل الأساسي (25 - 34)","%46.5"
"2019-Q2","ذكور","سن العمل الأساسي (25 - 34)","%8.4"
"2019-Q2","إناث","سن العمل الأساسي (25 - 34)","%46.3"
"2019-Q3","ذكور","سن العمل الأساسي (25 - 34)","%7.5"
"2019-Q3","إناث","سن العمل الأساسي (25 - 34)","%44.2"
"2019-Q4","ذكور","سن العمل الأساسي (25 - 34)","%7.6"
"2019-Q4","إناث","سن العمل الأساسي (25 - 34)","%44.5"
"2020-Q1","ذكور","سن العمل الأساسي (25 - 34)","%7.7"
"2020-Q1","إناث","سن العمل الأساسي (25 - 34)","%40.4"
"2020-Q2","ذكور","سن العمل الأساسي (25 - 34)","%10.4"
"2020-Q2","إناث","سن العمل الأساسي (25 - 34)","%44.6"
"2020-Q3","ذكور","سن العمل الأساسي (25 - 34)","%10.8"
"2020-Q3","إناث","سن العمل الأساسي (25 - 34)","%43.3"
"2020-Q4","ذكور","سن العمل الأساسي (25 - 34)","%8.8"
"2020-Q4","إناث","سن العمل الأساسي (25 - 34)","%37.2"
"2021-Q1","ذكور","سن العمل الأساسي (25 - 34)","%9.4"
"2021-Q1","إناث","سن العمل الأساسي (25 - 34)","%33.2"
"2021-Q2","ذكور","سن العمل الأساسي (25 - 34)","%6.9"
"2021-Q2","إناث","سن العمل الأساسي (25 - 34)","%30.8"
"2021-Q3","ذكور","سن العمل الأساسي (25 - 34)","%7.2"
"2021-Q3","إناث","سن العمل الأساسي (25 - 34)","%33.6"
"2021-Q4","ذكور","سن العمل الأساسي (25 - 34)","%6.8"
"2021-Q4","إناث","سن العمل الأساسي (25 - 34)","%34.7"
"2022-Q1","ذكور","سن العمل الأساسي (25 - 34)","%6.6"
"2022-Q1","إناث","سن العمل الأساسي (25 - 34)","%31.8"
"2022-Q2","ذكور","سن العمل الأساسي (25 - 34)","%6.2"
"2022-Q2","إناث","سن العمل الأساسي (25 - 34)","%28.0"
"2022-Q3","ذكور","سن العمل الأساسي (25 - 34)","%5.3"
"2022-Q3","إناث","سن العمل الأساسي (25 - 34)","%30.8"
"2022-Q4","ذكور","سن العمل الأساسي (25 - 34)","%4.9"
"2022-Q4","إناث","سن العمل الأساسي (25 - 34)","%21.5"
"2023-Q1","ذكور","سن العمل الأساسي (25 - 34)","%5.3"
"2023-Q1","إناث","سن العمل الأساسي (25 - 34)","%23.3"
"2023-Q2","ذكور","سن العمل الأساسي (25 - 34)","%5.1"
"2023-Q2","إناث","سن العمل الأساسي (25 - 34)","%21.7"
"2023-Q3","ذكور","سن العمل الأساسي (25 - 34)","%5.4"
"2023-Q3","إناث","سن العمل الأساسي (25 - 34)","%23.2"
"2023-Q4","ذكور","سن العمل الأساسي (25 - 34)","%5.3"
"2023-Q4","إناث","سن العمل الأساسي (25 - 34)","%18.6"
"2024-Q1","ذكور","سن العمل الأساسي (25 - 34)","%5.2"
"2024-Q1","إناث","سن العمل الأساسي (25 - 34)","%19.3"
"2024-Q2","ذكور","سن العمل الأساسي (25 - 34)","%4.5"
"2024-Q2","إناث","سن العمل الأساسي (25 - 34)","%17.9"
"2024-Q3","ذكور","سن العمل الأساسي (25 - 34)","%5.1"
"2024-Q3","إناث","سن العمل الأساسي (25 - 34)","%19.2"
"2024-Q4","ذكور","سن العمل الأساسي (25 - 34)","%5.1"
"2024-Q4","إناث","سن العمل الأساسي (25 - 34)","%17.2"
"2025-Q1","ذكور","سن العمل الأساسي (25 - 34)","%4.9"
"2025-Q1","إناث","سن العمل الأساسي (25 - 34)","%15.5"
"2025-Q2","ذكور","سن العمل الأساسي (25 - 34)","%5.1"
"2025-Q2","إناث","سن العمل الأساسي (25 - 34)","%16.5"
"2025-Q3","ذكور","سن العمل الأساسي (25 - 34)","%5.4"
"2025-Q3","إناث","سن العمل الأساسي (25 - 34)","%16.7"
"2016-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.1"
"2016-Q2","إناث","سن العمل الأساسي (35 - 44)","%14.6"
"2016-Q3","ذكور","سن العمل الأساسي (35 - 44)","%0.9"
"2016-Q3","إناث","سن العمل الأساسي (35 - 44)","%8.5"
"2016-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.4"
"2016-Q4","إناث","سن العمل الأساسي (35 - 44)","%11.9"
"2017-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.9"
"2017-Q1","إناث","سن العمل الأساسي (35 - 44)","%12.0"
"2017-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.9"
"2017-Q2","إناث","سن العمل الأساسي (35 - 44)","%11.4"
"2017-Q3","ذكور","سن العمل الأساسي (35 - 44)","%1.6"
"2017-Q3","إناث","سن العمل الأساسي (35 - 44)","%11.3"
"2017-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.1"
"2017-Q4","إناث","سن العمل الأساسي (35 - 44)","%12.8"
"2018-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.3"
"2018-Q1","إناث","سن العمل الأساسي (35 - 44)","%13.9"
"2018-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.8"
"2018-Q2","إناث","سن العمل الأساسي (35 - 44)","%10.5"
"2018-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.1"
"2018-Q3","إناث","سن العمل الأساسي (35 - 44)","%10.9"
"2018-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.3"
"2018-Q4","إناث","سن العمل الأساسي (35 - 44)","%8.8"
"2019-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.8"
"2019-Q1","إناث","سن العمل الأساسي (35 - 44)","%12.2"
"2019-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.4"
"2019-Q2","إناث","سن العمل الأساسي (35 - 44)","%12.8"
"2019-Q3","ذكور","سن العمل الأساسي (35 - 44)","%1.6"
"2019-Q3","إناث","سن العمل الأساسي (35 - 44)","%12.3"
"2019-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.2"
"2019-Q4","إناث","سن العمل الأساسي (35 - 44)","%13.6"
"2020-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.6"
"2020-Q1","إناث","سن العمل الأساسي (35 - 44)","%12.9"
"2020-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.5"
"2020-Q2","إناث","سن العمل الأساسي (35 - 44)","%16.1"
"2020-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.8"
"2020-Q3","إناث","سن العمل الأساسي (35 - 44)","%16.2"
"2020-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.6"
"2020-Q4","إناث","سن العمل الأساسي (35 - 44)","%13.1"
"2021-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.8"
"2021-Q1","إناث","سن العمل الأساسي (35 - 44)","%13.7"
"2021-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.7"
"2021-Q2","إناث","سن العمل الأساسي (35 - 44)","%16.7"
"2021-Q3","ذكور","سن العمل الأساسي (35 - 44)","%3.2"
"2021-Q3","إناث","سن العمل الأساسي (35 - 44)","%16.8"
"2021-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.5"
"2021-Q4","إناث","سن العمل الأساسي (35 - 44)","%17.1"
"2022-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.7"
"2022-Q1","إناث","سن العمل الأساسي (35 - 44)","%15.3"
"2022-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2022-Q2","إناث","سن العمل الأساسي (35 - 44)","%14.0"
"2022-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2022-Q3","إناث","سن العمل الأساسي (35 - 44)","%14.3"
"2022-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.9"
"2022-Q4","إناث","سن العمل الأساسي (35 - 44)","%12.1"
"2023-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.6"
"2023-Q1","إناث","سن العمل الأساسي (35 - 44)","%11.9"
"2023-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2023-Q2","إناث","سن العمل الأساسي (35 - 44)","%12.5"
"2023-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.2"
"2023-Q3","إناث","سن العمل الأساسي (35 - 44)","%12.3"
"2023-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.3"
"2023-Q4","إناث","سن العمل الأساسي (35 - 44)","%11.3"
"2024-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.2"
"2024-Q1","إناث","سن العمل الأساسي (35 - 44)","%10.6"
"2024-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.2"
"2024-Q2","إناث","سن العمل الأساسي (35 - 44)","%8.9"
"2024-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.3"
"2024-Q3","إناث","سن العمل الأساسي (35 - 44)","%9.7"
"2024-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.1"
"2024-Q4","إناث","سن العمل الأساسي (35 - 44)","%9.1"
"2025-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.8"
"2025-Q1","إناث","سن العمل الأساسي (35 - 44)","%6.9"
"2025-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2025-Q2","إناث","سن العمل الأساسي (35 - 44)","%7.7"
"2025-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.5"
"2025-Q3","إناث","سن العمل الأساسي (35 - 44)","%7.9"
"2016-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.2"
"2016-Q2","إناث","سن العمل الأساسي (45 - 54)","%4.5"
"2016-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.7"
"2016-Q3","إناث","سن العمل الأساسي (45 - 54)","%0.9"
"2016-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.4"
"2016-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.7"
"2017-Q1","ذكور","سن العمل الأساسي (45 - 54)","%0.5"
"2017-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.0"
"2017-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2017-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.7"
"2017-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2017-Q3","إناث","سن العمل الأساسي (45 - 54)","%0.4"
"2017-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2017-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.7"
"2018-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2018-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.0"
"2018-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2018-Q2","إناث","سن العمل الأساسي (45 - 54)","%0.1"
"2018-Q3","ذكور","سن العمل الأساسي (45 - 54)","%1.1"
"2018-Q3","إناث","سن العمل الأساسي (45 - 54)","%2.4"
"2018-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2018-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.2"
"2019-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2019-Q1","إناث","سن العمل الأساسي (45 - 54)","%3.4"
"2019-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2019-Q2","إناث","سن العمل الأساسي (45 - 54)","%3.6"
"2019-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.6"
"2019-Q3","إناث","سن العمل الأساسي (45 - 54)","%3.8"
"2019-Q4","ذكور","سن العمل الأساسي (45 - 54)","%0.4"
"2019-Q4","إناث","سن العمل الأساسي (45 - 54)","%3.5"
"2020-Q1","ذكور","سن العمل الأساسي (45 - 54)","%0.8"
"2020-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.6"
"2020-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2020-Q2","إناث","سن العمل الأساسي (45 - 54)","%3.4"
"2020-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2020-Q3","إناث","سن العمل الأساسي (45 - 54)","%5.6"
"2020-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2020-Q4","إناث","سن العمل الأساسي (45 - 54)","%4.4"
"2021-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.7"
"2021-Q1","إناث","سن العمل الأساسي (45 - 54)","%5.3"
"2021-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.7"
"2021-Q2","إناث","سن العمل الأساسي (45 - 54)","%7.4"
"2021-Q3","ذكور","سن العمل الأساسي (45 - 54)","%2.1"
"2021-Q3","إناث","سن العمل الأساسي (45 - 54)","%7.4"
"2021-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.7"
"2021-Q4","إناث","سن العمل الأساسي (45 - 54)","%5.0"
"2022-Q1","ذكور","سن العمل الأساسي (45 - 54)","%2.0"
"2022-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.7"
"2022-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2022-Q2","إناث","سن العمل الأساسي (45 - 54)","%4.0"
"2022-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2022-Q3","إناث","سن العمل الأساسي (45 - 54)","%4.5"
"2022-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2022-Q4","إناث","سن العمل الأساسي (45 - 54)","%3.1"
"2023-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2023-Q1","إناث","سن العمل الأساسي (45 - 54)","%3.5"
"2023-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.1"
"2023-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.7"
"2023-Q3","ذكور","سن العمل الأساسي (45 - 54)","%1.3"
"2023-Q3","إناث","سن العمل الأساسي (45 - 54)","%3.5"
"2023-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2023-Q4","إناث","سن العمل الأساسي (45 - 54)","%2.1"
"2024-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.1"
"2024-Q1","إناث","سن العمل الأساسي (45 - 54)","%2.9"
"2024-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.7"
"2024-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.9"
"2024-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2024-Q3","إناث","سن العمل الأساسي (45 - 54)","%2.2"
"2024-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2024-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.9"
"2025-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2025-Q1","إناث","سن العمل الأساسي (45 - 54)","%1.4"
"2025-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.3"
"2025-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.1"
"2025-Q3","ذكور","سن العمل الأساسي (45 - 54)","%2.4"
"2025-Q3","إناث","سن العمل الأساسي (45 - 54)","%2.1"
"2016-Q2","ذكور","من سن 55 وما فوق","%0.4"
"2016-Q2","إناث","من سن 55 وما فوق","%1.4"
"2016-Q3","ذكور","من سن 55 وما فوق","%0.02"
"2016-Q3","إناث","من سن 55 وما فوق","%3.1"
"2016-Q4","ذكور","من سن 55 وما فوق","%0.1"
"2016-Q4","إناث","من سن 55 وما فوق","%0"
"2017-Q1","ذكور","من سن 55 وما فوق","%0.2"
"2017-Q1","إناث","من سن 55 وما فوق","%0"
"2017-Q2","ذكور","من سن 55 وما فوق","%0.5"
"2017-Q2","إناث","من سن 55 وما فوق","%1.0"
"2017-Q3","ذكور","من سن 55 وما فوق","%0.4"
"2017-Q3","إناث","من سن 55 وما فوق","%1.7"
"2017-Q4","ذكور","من سن 55 وما فوق","%0.01"
"2017-Q4","إناث","من سن 55 وما فوق","%0"
"2018-Q1","ذكور","من سن 55 وما فوق","%0.6"
"2018-Q1","إناث","من سن 55 وما فوق","%0"
"2018-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2018-Q2","إناث","من سن 55 وما فوق","%0"
"2018-Q3","ذكور","من سن 55 وما فوق","%0.7"
"2018-Q3","إناث","من سن 55 وما فوق","%0"
"2018-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2018-Q4","إناث","من سن 55 وما فوق","%0"
"2019-Q1","ذكور","من سن 55 وما فوق","%0.3"
"2019-Q1","إناث","من سن 55 وما فوق","%0.2"
"2019-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2019-Q2","إناث","من سن 55 وما فوق","%0.2"
"2019-Q3","ذكور","من سن 55 وما فوق","%0.1"
"2019-Q3","إناث","من سن 55 وما فوق","%0"
"2019-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2019-Q4","إناث","من سن 55 وما فوق","%1.5"
"2020-Q1","ذكور","من سن 55 وما فوق","%0"
"2020-Q1","إناث","من سن 55 وما فوق","%0.7"
"2020-Q2","ذكور","من سن 55 وما فوق","%0.5"
"2020-Q2","إناث","من سن 55 وما فوق","%2.8"
"2020-Q3","ذكور","من سن 55 وما فوق","%0.2"
"2020-Q3","إناث","من سن 55 وما فوق","%0.3"
"2020-Q4","ذكور","من سن 55 وما فوق","%0.5"
"2020-Q4","إناث","من سن 55 وما فوق","%2.7"
"2021-Q1","ذكور","من سن 55 وما فوق","%0.5"
"2021-Q1","إناث","من سن 55 وما فوق","%0.5"
"2021-Q2","ذكور","من سن 55 وما فوق","%0.3"
"2021-Q2","إناث","من سن 55 وما فوق","%4.1"
"2021-Q3","ذكور","من سن 55 وما فوق","%0.6"
"2021-Q3","إناث","من سن 55 وما فوق","%4.2"
"2021-Q4","ذكور","من سن 55 وما فوق","%0.4"
"2021-Q4","إناث","من سن 55 وما فوق","%3.9"
"2022-Q1","ذكور","من سن 55 وما فوق","%0.8"
"2022-Q1","إناث","من سن 55 وما فوق","%1.8"
"2022-Q2","ذكور","من سن 55 وما فوق","%0.3"
"2022-Q2","إناث","من سن 55 وما فوق","%1.7"
"2022-Q3","ذكور","من سن 55 وما فوق","%0.3"
"2022-Q3","إناث","من سن 55 وما فوق","%1.0"
"2022-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2022-Q4","إناث","من سن 55 وما فوق","%0.9"
"2023-Q1","ذكور","من سن 55 وما فوق","%0.3"
"2023-Q1","إناث","من سن 55 وما فوق","%2.1"
"2023-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2023-Q2","إناث","من سن 55 وما فوق","%1.0"
"2023-Q3","ذكور","من سن 55 وما فوق","%0.2"
"2023-Q3","إناث","من سن 55 وما فوق","%1.6"
"2023-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2023-Q4","إناث","من سن 55 وما فوق","%0.9"
"2024-Q1","ذكور","من سن 55 وما فوق","%0.08"
"2024-Q1","إناث","من سن 55 وما فوق","%1.0"
"2024-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2024-Q2","إناث","من سن 55 وما فوق","%0.9"
"2024-Q3","ذكور","من سن 55 وما فوق","%0.2"
"2024-Q3","إناث","من سن 55 وما فوق","%1.4"
"2024-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2024-Q4","إناث","من سن 55 وما فوق","%1.0"
"2025-Q1","ذكور","من سن 55 وما فوق","%0.004"
"2025-Q1","إناث","من سن 55 وما فوق","%0.3"
"2025-Q2","ذكور","من سن 55 وما فوق","%0.3"
"2025-Q2","إناث","من سن 55 وما فوق","%0.9"
"2025-Q3","ذكور","من سن 55 وما فوق","%2.3"
"2025-Q3","إناث","من سن 55 وما فوق","%1.5"