"الربع","الجنس","معدل البطالة"
"2016-Q2","ذكور","5.4"
"2016-Q2","إناث","33.7"
"2016-Q2","الإجمالي","11.6"
"2016-Q3","ذكور","5.7"
"2016-Q3","إناث","34.5"
"2016-Q3","الإجمالي","12.1"
"2016-Q4","ذكور","5.9"
"2016-Q4","إناث","34.5"
"2016-Q4","الإجمالي","12.3"
"2017-Q1","ذكور","7.2"
"2017-Q1","إناث","33"
"2017-Q1","الإجمالي","12.7"
"2017-Q2","ذكور","7.4"
"2017-Q2","إناث","33.1"
"2017-Q2","الإجمالي","12.8"
"2017-Q3","ذكور","7.4"
"2017-Q3","إناث","32.7"
"2017-Q3","الإجمالي","12.8"
"2017-Q4","ذكور","7.5"
"2017-Q4","إناث","31"
"2017-Q4","الإجمالي","12.8"
"2018-Q1","ذكور","7.6"
"2018-Q1","إناث","30.9"
"2018-Q1","الإجمالي","12.9"
"2018-Q2","ذكور","7.6"
"2018-Q2","إناث","31.1"
"2018-Q2","الإجمالي","12.9"
"2018-Q3","ذكور","7.5"
"2018-Q3","إناث","30.9"
"2018-Q3","الإجمالي","12.8"
"2018-Q4","ذكور","6.6"
"2018-Q4","إناث","32.5"
"2018-Q4","الإجمالي","12.7"
"2019-Q1","ذكور","6.6"
"2019-Q1","إناث","31.7"
"2019-Q1","الإجمالي","12.5"
"2019-Q2","ذكور","6"
"2019-Q2","إناث","31.1"
"2019-Q2","الإجمالي","12.3"
"2019-Q3","ذكور","5.8"
"2019-Q3","إناث","30.8"
"2019-Q3","الإجمالي","12"
"2019-Q4","ذكور","4.9"
"2019-Q4","إناث","30.8"
"2019-Q4","الإجمالي","12"
"2020-Q1","ذكور","5.6"
"2020-Q1","إناث","28.2"
"2020-Q1","الإجمالي","11.8"
"2020-Q2","ذكور","8.1"
"2020-Q2","إناث","31.4"
"2020-Q2","الإجمالي","15.4"
"2020-Q3","ذكور","7.9"
"2020-Q3","إناث","30.2"
"2020-Q3","الإجمالي","14.9"
"2020-Q4","ذكور","7.1"
"2020-Q4","إناث","24.4"
"2020-Q4","الإجمالي","12.6"
"2021-Q1","ذكور","7.437090046118541"
"2021-Q1","إناث","21.72038921951139"
"2021-Q1","الإجمالي","12.16652725388383"
"2021-Q2","ذكور","6.385265765690932"
"2021-Q2","إناث","22.67109577023739"
"2021-Q2","الإجمالي","11.79714697419326"
"2021-Q3","ذكور","6.205497231795751"
"2021-Q3","إناث","22.15595436852657"
"2021-Q3","الإجمالي","11.73480844482969"
"2021-Q4","ذكور","5.365803427100799"
"2021-Q4","إناث","22.93577502900945"
"2021-Q4","الإجمالي","11.47703663686596"
"2022-Q1","ذكور","5.164822544913315"
"2022-Q1","إناث","20.31631453815182"
"2022-Q1","الإجمالي","10.31850935558535"
"2022-Q2","ذكور","4.920341264692857"
"2022-Q2","إناث","19.46925888214875"
"2022-Q2","الإجمالي","9.955664640972692"
"2022-Q3","ذكور","4.385567507963496"
"2022-Q3","إناث","20.66165544040992"
"2022-Q3","الإجمالي","10.15748068588656"
"2022-Q4","ذكور","4.3130653175741"
"2022-Q4","إناث","15.67537616778923"
"2022-Q4","الإجمالي","8.21136371923257"
"2023-Q1","ذكور","4.6711721422173"
"2023-Q1","إناث","16.33443509017089"
"2023-Q1","الإجمالي","8.667264525599867"
"2023-Q2","ذكور","4.629089855187579"
"2023-Q2","إناث","15.89190054011111"
"2023-Q2","الإجمالي","8.453726384680115"
"2023-Q3","ذكور","4.727891325414683"
"2023-Q3","إناث","16.56695619610706"
"2023-Q3","الإجمالي","8.806285503682684"
"2023-Q4","ذكور","4.599755372464013"
"2023-Q4","إناث","13.90674810286544"
"2023-Q4","الإجمالي","7.77577332851356"
"2024-Q1","ذكور","4.213429540211804"
"2024-Q1","إناث","14.16524427098011"
"2024-Q1","الإجمالي","7.610484595903867"
"2024-Q2","ذكور","3.98734074230763"
"2024-Q2","إناث","12.83935954464476"
"2024-Q2","الإجمالي","7.089038158606827"
"2024-Q3","ذكور","4.656514397887792"
"2024-Q3","إناث","13.56264994652308"
"2024-Q3","الإجمالي","7.806353481111772"
"2024-Q4","ذكور","4.327787081534465"
"2024-Q4","إناث","11.85409485310426"
"2024-Q4","الإجمالي","6.998490253964286"
"2025-Q1","ذكور","3.995933640869784"
"2025-Q1","إناث","10.53527894651563"
"2025-Q1","الإجمالي","6.324399733266787"
"2025-Q2","ذكور","4.32486619761784"
"2025-Q2","إناث","11.294552423253112"
"2025-Q2","الإجمالي","6.784682191345961"
"2025-Q3","ذكور","5.04536440733403"
"2025-Q3","إناث","12.07221049760087"
"2025-Q3","الإجمالي","7.480826101272017"